City_ID,City,Country,Lat,Lng,Max Temp,% Humidity,Cloudiness,Wind Speed
0,Toowoomba,AU,-27.55,151.9667,294.15,83,40,4.63
1,Victor Harbor,AU,-35.5667,138.6167,292.59,73,35,2.75
2,Formosa do Rio Preto,BR,-11.0483,-45.1931,298.57,79,100,1.95
3,Kapaa,US,22.0752,-159.319,293.15,83,90,8.75
4,Arman',RU,59.7,150.1667,256.35,78,0,1.44
5,Sikasso,ML,10.9167,-7.0,313.13,20,31,1.59
6,Sumbe,AO,-11.2061,13.8437,301.58,72,88,3.0
7,Shrīgonda,IN,18.6167,74.6833,302.62,26,69,2.05
8,Torbay,CA,47.6666,-52.7314,270.37,86,75,7.72
9,Pochutla,MX,15.7432,-96.4661,298.71,61,1,0.32
10,Albany,US,42.6001,-73.9662,277.04,31,0,3.34
11,Port Blair,IN,11.6667,92.75,300.64,65,40,2.46
12,Ushuaia,AR,-54.8,-68.3,277.15,87,40,9.77
13,San Cristobal,VE,7.7669,-72.225,297.15,94,75,3.09
14,Vaini,TO,-21.2,-175.2,298.15,94,20,1.54
15,Kirundo Province,BI,-2.5833,30.1667,299.15,50,40,2.06
16,Iqaluit,CA,63.7506,-68.5145,249.26,64,40,6.69
17,Hermanus,ZA,-34.4187,19.2345,293.15,71,58,0.45
18,Saskylakh,RU,71.9167,114.0833,240.38,99,100,4.07
19,Valls,ES,41.2861,1.2499,287.15,30,20,1.03
20,Bluff,NZ,-46.6,168.3333,285.37,92,85,1.79
21,Arawa,PG,-6.2132,155.5367,298.47,88,99,1.14
22,Lebu,CL,-37.6167,-73.65,288.95,68,100,4.78
23,Naze,JP,28.3667,129.4833,292.48,92,70,4.89
24,Upernavik,GL,72.7868,-56.1549,258.17,95,92,5.47
25,Saint George,US,37.1041,-113.5841,288.15,30,1,7.2
26,Chapais,CA,49.7834,-74.8492,272.15,59,1,4.63
27,Touros,BR,-5.1989,-35.4608,304.15,48,40,6.69
28,Rikitea,PF,-23.1203,-134.9692,299.44,76,96,4.2
29,Cape Town,ZA,-33.9258,18.4232,294.15,56,20,11.83
30,Punta Arenas,CL,-53.15,-70.9167,282.15,61,40,12.35
31,Costa Rica,BR,-23.4167,-54.65,300.34,67,36,5.17
32,Khatanga,RU,71.9667,102.5,235.51,98,74,3.79
33,Lakatoro,VU,-16.0999,167.4164,298.18,87,100,3.73
34,Cidreira,BR,-30.1811,-50.2056,298.39,71,0,8.32
35,Beringovskiy,RU,63.05,179.3167,254.06,91,100,7.44
36,Aylmer,CA,42.7668,-80.983,278.71,69,1,2.04
37,Russell,US,32.3502,-85.1999,282.59,46,90,6.69
38,Kavieng,PG,-2.5744,150.7967,301.53,76,100,3.86
39,Cabo San Lucas,MX,22.8909,-109.9124,291.48,44,20,1.54
40,Vestmanna,FO,62.1564,-7.1664,279.15,87,75,4.12
41,Aquiraz,BR,-3.9014,-38.3911,304.15,58,40,7.72
42,Campoverde,PE,-8.4753,-74.8058,297.15,100,75,1.54
43,Itarema,BR,-2.9248,-39.9167,303.67,59,5,3.48
44,Mataura,NZ,-46.1927,168.8643,285.37,92,79,1.79
45,Mahibadhoo,MV,3.7833,72.9667,301.51,67,1,3.23
46,Dunedin,NZ,-45.8742,170.5036,287.04,74,13,5.36
47,Hobart,AU,-42.8794,147.3294,289.15,59,90,4.63
48,George Town,MY,5.4112,100.3354,303.15,45,20,3.6
49,Mouzourás,GR,35.5333,24.15,294.15,64,0,2.57
50,Codrington,AU,-38.2667,141.9667,289.82,80,100,3.78
51,Atuona,PF,-9.8,-139.0333,299.65,75,58,4.87
52,Chui,UY,-33.6971,-53.4616,299.16,70,16,5.55
53,Hilo,US,19.7297,-155.09,294.15,78,90,2.06
54,Busselton,AU,-33.65,115.3333,295.93,73,0,3.58
55,Saint-Philippe,RE,-21.3585,55.7679,301.15,69,75,10.29
56,Narsaq,GL,60.9167,-46.05,275.15,75,75,6.69
57,Hasaki,JP,35.7333,140.8333,287.15,88,75,0.51
58,Xining,CN,36.6167,101.7667,270.27,41,100,7.89
59,Santander Jiménez,MX,24.2167,-98.4667,289.54,66,1,1.9
60,Grindavik,IS,63.8424,-22.4338,277.15,81,90,9.26
61,Airai,TL,-8.9266,125.4092,289.61,89,23,0.89
62,Verkhnyaya Inta,RU,65.9811,60.3094,263.09,94,100,0.68
63,Roald,NO,62.5833,6.1333,279.26,100,75,11.32
64,Alofi,NU,-19.0595,-169.9187,296.15,94,100,1.03
65,Sola,VU,-13.8833,167.55,300.64,74,100,5.63
66,Kaeo,NZ,-35.1,173.7833,288.15,85,4,1.34
67,Rodrigues Alves,BR,-7.738,-72.6509,300.24,77,96,0.76
68,Ca Mau,VN,9.1769,105.15,298.68,82,3,1.86
69,Tuatapere,NZ,-46.1333,167.6833,285.37,92,78,1.79
70,Haapiti,PF,-17.5667,-149.8667,298.15,78,40,1.03
71,Kolokani,ML,13.5728,-8.0339,310.59,18,70,2.74
72,Vila Franca do Campo,PT,37.7167,-25.4333,289.15,67,75,7.2
73,Nadvoitsy,RU,63.8667,34.3167,268.75,91,100,5.09
74,Nikolskoye,RU,59.7035,30.7861,270.15,43,75,8.0
75,Mar del Plata,AR,-38.0023,-57.5575,290.93,88,90,2.06
76,Chardara,KZ,41.2547,67.9692,282.24,90,100,4.39
77,Sidvokodvo,SZ,-26.6282,31.4202,307.15,42,20,1.03
78,Wencheng,CN,33.0559,113.7978,283.7,70,100,1.34
79,Port Alfred,ZA,-33.5906,26.891,297.41,77,31,7.71
80,Port Elizabeth,ZA,-33.918,25.5701,294.15,88,90,3.09
81,Puerto Ayora,EC,-0.7393,-90.3518,301.15,78,20,3.09
82,Scarborough,GB,54.2797,-0.4044,288.15,71,97,1.34
83,Ribeira Grande,PT,38.5167,-28.7,289.15,88,75,8.23
84,Carnarvon,AU,-24.8667,113.6333,300.15,83,0,4.12
85,Yellowknife,CA,62.456,-114.3525,258.15,78,20,7.72
86,Água Branca,BR,-5.8922,-42.6361,300.29,81,40,1.23
87,Bambous Virieux,MU,-20.3428,57.7575,300.93,89,75,5.14
88,Lorengau,PG,-2.0226,147.2712,301.39,72,100,1.82
89,Bredasdorp,ZA,-34.5322,20.0403,295.15,56,71,6.17
90,Jamestown,US,42.097,-79.2353,275.15,48,1,0.3
91,Lüderitz,NA,-26.6481,15.1594,297.25,56,0,14.69
92,Tambopata,PE,-12.7333,-69.1833,297.15,88,90,0.51
93,Algiers,DZ,36.7525,3.042,287.15,62,75,3.6
94,Ardabil,IR,38.2498,48.2933,287.15,19,40,8.23
95,Castro,BR,-24.7911,-50.0119,296.85,74,95,3.75
96,Kaitangata,NZ,-46.2817,169.8464,282.8,95,34,3.27
97,Avarua,CK,-21.2078,-159.775,297.15,100,20,1.03
98,Sioux Lookout,CA,50.1001,-91.917,276.15,60,1,4.63
99,Shimoda,JP,34.6667,138.95,289.26,81,99,4.25
100,West Bay,KY,19.3667,-81.4167,301.15,69,20,2.06
101,Jalingo,NG,8.8833,11.3667,309.1,34,95,3.76
102,Hualmay,PE,-11.0964,-77.6139,297.02,63,77,2.6
103,Barrow,US,71.2906,-156.7887,245.15,76,1,2.57
104,Arraial do Cabo,BR,-22.9661,-42.0278,302.15,74,20,5.66
105,Asău,RO,46.4333,26.4,275.37,48,91,0.62
106,Blind River,CA,46.1834,-82.9582,276.15,80,1,1.54
107,Mahébourg,MU,-20.4081,57.7,299.15,89,75,5.14
108,Rantepao,ID,-2.9701,119.8978,293.48,95,100,1.05
109,Molo,KE,-0.2479,35.7374,288.05,81,94,1.56
110,Hambantota,LK,6.1241,81.1185,299.15,100,75,0.51
111,Nantucket,US,41.2835,-70.0995,276.48,70,1,2.57
112,Gemena,CD,3.25,19.7667,299.45,83,98,1.5
113,Mount Gambier,AU,-37.8333,140.7667,292.15,68,100,5.66
114,Luang Prabang,LA,19.8856,102.1347,301.67,52,75,0.61
115,Dongsheng,CN,39.8161,109.9776,268.61,28,0,9.77
116,Nanortalik,GL,60.1432,-45.2371,275.07,98,100,7.03
117,Qaanaaq,GL,77.484,-69.3632,249.99,97,86,2.09
118,Provideniya,RU,64.3833,-173.3,254.75,83,100,7.3
119,Yerbogachën,RU,61.2767,108.0108,251.66,86,100,5.2
120,Belmonte,BR,-15.8631,-38.8828,302.15,65,75,4.12
121,Aklavik,CA,68.2191,-135.0107,241.15,75,20,1.54
122,Kisangani,CD,0.5167,25.2,307.65,40,100,0.85
123,Kiama,AU,-34.6833,150.8667,294.82,83,100,4.02
124,Manbij,SY,36.5281,37.9549,288.15,47,75,1.54
125,Antonina,BR,-25.4286,-48.7119,295.15,73,75,3.09
126,Coquimbo,CL,-29.9533,-71.3436,290.15,63,0,3.6
127,Peto,MX,20.1333,-88.9167,294.17,72,11,1.63
128,Ishigaki,JP,24.3448,124.1572,296.59,81,89,1.58
129,Soma,TR,39.1855,27.6094,283.15,93,75,5.66
130,Churapcha,RU,62.0025,132.4325,263.55,94,94,2.41
131,East London,ZA,-33.0153,27.9116,297.15,78,20,2.06
132,Tiznit Province,MA,29.5833,-9.5,288.3,56,15,8.97
133,Hirara,JP,24.8,125.2833,296.16,78,100,1.37
134,Pevek,RU,69.7008,170.3133,241.86,100,23,0.74
135,Baraguá,CU,21.6967,-78.6328,299.54,57,88,2.69
136,Kuvandyk,RU,51.4781,57.3552,271.07,95,100,6.99
137,Bengkulu,ID,-3.8004,102.2655,299.43,77,100,1.0
138,Lima,PE,-12.0432,-77.0282,296.48,88,0,1.54
139,Yar-Sale,RU,66.8333,70.8333,247.42,88,99,5.69
140,Buala,SB,-8.145,159.5921,299.86,81,100,1.19
141,Port Hardy,CA,50.6996,-127.4199,278.15,93,90,4.63
142,Zyryanka,RU,65.75,150.85,250.24,83,0,3.25
143,Kushiro,JP,42.975,144.3747,271.87,78,100,2.55
144,Coyhaique,CL,-45.5752,-72.0662,288.15,58,40,3.09
145,Sørland,NO,67.667,12.6934,278.15,87,40,12.86
146,Vila,PT,42.0304,-8.1588,287.04,44,0,3.58
147,Leshukonskoye,RU,64.8989,45.7622,265.15,90,95,2.87
148,Houma,US,29.5958,-90.7195,284.82,82,90,4.12
149,Camocim,BR,-2.9022,-40.8411,302.05,68,8,2.19
150,Pavlohrad,UA,48.5167,35.8667,274.15,93,75,2.0
151,Hanzhong,CN,33.0728,107.0303,281.68,70,100,2.33
152,New Norfolk,AU,-42.7826,147.0587,289.15,59,90,4.63
153,Barquisimeto,VE,10.0739,-69.3228,297.15,73,75,1.03
154,Ambilobe,MG,-13.2,49.05,300.84,87,100,1.15
155,Dubti,ET,11.7361,41.0853,310.19,9,0,2.33
156,Hergla,TN,36.0303,10.509,288.15,82,40,4.63
157,Sortland,NO,68.6949,15.4162,274.15,100,90,3.09
158,Lompoc,US,34.6391,-120.4579,280.15,81,1,4.98
159,Lodeynoye Pole,RU,60.726,33.5531,268.11,93,100,6.07
160,Pisco,PE,-13.7,-76.2167,296.15,64,0,3.6
161,Dingli,MT,35.8614,14.3822,290.93,82,40,5.14
162,Brazzaville,CG,-4.2658,15.2832,299.15,78,40,2.06
163,Challans,FR,46.8436,-1.8749,285.15,43,0,5.66
164,Mount Isa,AU,-20.7333,139.5,298.15,94,75,2.06
165,Portland,US,45.5234,-122.6762,280.15,76,75,6.69
166,Vao,NC,-22.6667,167.4833,297.42,73,100,8.01
167,Maromitsa,RU,59.8683,48.0123,266.66,91,100,3.51
168,Ancud,CL,-41.8697,-73.8203,287.15,77,0,3.6
169,Bajil,YE,15.0584,43.2851,304.23,46,51,4.19
170,Tasiilaq,GL,65.6145,-37.6368,269.15,86,90,14.92
171,Vila Velha,BR,-20.3297,-40.2925,302.59,70,40,3.6
172,Butaritari,KI,3.0707,172.7902,300.75,79,0,7.42
173,Genhe,CN,50.7833,121.5167,264.4,92,100,1.64
174,Mirny,RU,62.5353,113.9611,254.49,88,95,7.39
175,Qaryat Sulūq,LY,31.6682,20.2521,300.2,19,16,3.65
176,Vágur,FO,61.4732,-6.8119,279.78,81,0,10.38
177,Mahon,ES,39.8885,4.2658,284.15,58,40,14.92
178,Tabory,RU,58.5198,64.5495,270.78,98,100,1.69
179,Vaitape,PF,-16.5167,-151.75,301.35,64,60,3.42
180,Caravelas,BR,-17.7125,-39.2481,301.21,66,50,2.47
181,Andros Town,BS,24.7,-77.7667,298.15,78,75,3.09
182,Berlevåg,NO,70.8578,29.0864,273.82,83,100,9.4
183,Olafsvik,IS,64.8945,-23.7142,276.21,95,100,10.58
184,Lafayette,US,30.2335,-92.0668,283.15,71,90,3.6
185,Tubinskiy,RU,52.8892,58.2225,272.15,74,90,5.0
186,Bethel,US,41.3712,-73.414,278.15,41,0,1.85
187,Kendari,ID,-3.945,122.4989,298.86,84,2,1.0
188,Nemuro,JP,43.3236,145.575,271.91,73,100,4.35
189,Faya,SA,18.3851,42.4509,300.15,53,20,4.12
190,Cairns,AU,-16.9167,145.7667,297.15,83,93,2.57
191,Buritizeiro,BR,-17.3511,-44.9622,300.1,66,1,2.83
192,Bathsheba,BB,13.2167,-59.5167,302.15,51,20,9.77
193,Bundaberg,AU,-24.85,152.35,299.26,100,40,2.57
194,Altukhovo,RU,52.67,34.36,275.15,60,40,4.0
195,Souillac,MU,-20.5167,57.5167,299.15,89,75,5.14
196,Belyy Yar,RU,53.6039,91.3903,267.15,79,79,2.0
197,Tiksi,RU,71.6872,128.8694,241.49,96,87,1.22
198,Uvarovka,RU,55.5278,35.6061,270.89,75,43,2.87
199,North Bend,US,43.4065,-124.2243,279.15,100,90,1.54
200,Avera,US,33.194,-82.5271,280.15,39,1,8.23
201,Harrai,IN,22.6167,79.2167,300.86,22,28,1.95
202,Athabasca,CA,54.7169,-113.2854,269.15,86,14,0.51
203,Egvekinot,RU,66.3167,-179.1667,249.1,79,100,4.98
204,Sørkjosen,NO,69.8,20.9333,273.4,96,100,1.91
205,Champerico,GT,14.3,-91.9167,297.15,83,0,1.89
206,Forsytheganj,BY,52.6333,29.7333,276.24,49,100,2.56
207,Ciechocinek,PL,52.8791,18.7951,274.26,51,99,0.45
208,Katherine,AU,-14.4667,132.2667,298.15,94,40,2.57
209,Igarka,RU,67.4667,86.5833,242.2,87,0,3.82
210,Caucayá,CO,-0.1934,-74.7819,300.79,68,64,1.79
211,The Valley,AI,18.217,-63.0578,299.15,73,75,7.2
212,Bambanglipuro,ID,-7.95,110.2833,299.27,84,78,2.08
213,Saint Paul Harbor,US,57.79,-152.4072,272.15,93,90,1.54
214,Dale,US,38.1689,-86.99,279.82,65,1,2.57
215,Lagoa,PT,39.05,-27.9833,287.7,81,100,6.91
216,Katsuura,JP,35.1333,140.3,288.71,81,80,8.53
217,Rawson,AR,-43.3002,-65.1023,292.79,40,33,9.69
218,Guerrero Negro,MX,27.9769,-114.0611,287.89,88,0,4.23
219,Zhezkazgan,KZ,47.8043,67.7144,273.96,87,100,6.07
220,Yangi Marg`ilon,UZ,40.4272,71.7189,290.15,34,40,5.14
221,Yulara,AU,-25.2406,130.9889,292.15,94,90,3.25
222,Răsuceni,RO,44.0917,25.6639,283.71,46,82,2.73
223,Khorramabad,IR,33.4878,48.3558,290.15,23,75,6.17
224,Lavrentiya,RU,65.5833,-171.0,251.7,88,98,5.26
225,Kanniyākumāri,IN,8.0833,77.5667,300.92,75,19,2.7
226,Malayal,PH,7.208,121.942,300.4,84,100,1.01
227,Morgan City,US,29.6994,-91.2068,284.15,82,90,5.14
228,Kruisfontein,ZA,-34.0033,24.7314,294.82,80,26,2.68
229,Cayenne,GF,4.9333,-52.3333,302.15,65,75,4.63
230,Clyde River,CA,70.4692,-68.5914,244.15,69,1,3.6
231,Taoudenni,ML,22.6783,-3.9836,304.88,3,0,7.65
232,Faanui,PF,-16.4833,-151.75,301.35,65,55,3.44
233,Cabedelo,BR,-6.9811,-34.8339,304.15,58,40,6.17
234,Hong Kong,HK,22.2855,114.1577,298.15,83,0,1.3
235,Pecos,US,31.4229,-103.4932,276.15,52,1,2.57
236,Cherskiy,RU,68.75,161.3,243.6,88,0,1.98
237,Mujiayingzi,CN,42.1167,118.7833,270.93,43,11,9.41
238,Coahuayana Viejo,MX,18.7333,-103.6833,296.15,49,40,1.08
239,Christchurch,NZ,-43.5333,172.6333,286.15,82,90,0.51
240,Kysyl-Syr,RU,63.8986,122.7617,266.51,91,100,5.68
241,Sassandra,CI,4.95,-6.0833,303.06,62,56,3.27
242,Ninh Binh,VN,20.2539,105.975,296.99,85,95,3.62
243,Stettler,CA,52.3168,-112.7186,271.15,69,0,4.63
244,Port Hedland,AU,-20.3167,118.5667,297.15,60,71,6.17
245,Maués,BR,-3.3836,-57.7186,301.42,68,98,2.39
246,Tubmanburg,LR,6.8708,-10.8172,305.2,54,98,1.78
247,Kem',RU,64.9555,34.5793,270.27,88,93,5.54
248,Manalongon,PH,9.2209,122.886,300.59,80,99,1.74
249,Mortka,RU,59.3322,66.0214,269.96,98,100,1.42
250,Quimper,FR,48.0,-4.1,285.15,54,90,4.63
251,Broken Hill,AU,-31.95,141.4333,297.15,43,100,6.17
252,Vostok,RU,46.4856,135.8833,268.13,95,100,2.05
253,Hamilton,US,39.1834,-84.5333,277.59,60,1,3.6
254,Kulu,TR,39.0951,33.0799,283.66,57,100,3.7
255,Klyuchi,RU,52.2667,79.1667,272.63,72,100,8.03
256,General Roca,AR,-39.0333,-67.5833,292.15,45,0,4.12
257,Husavik,IS,66.0449,-17.3389,278.15,56,75,7.2
258,Acapulco de Juárez,MX,16.8634,-99.8901,298.15,69,1,1.56
259,Moshupa,BW,-24.7782,25.4155,300.15,47,40,1.54
260,Velyka Lepetykha,UA,47.1757,33.9436,278.41,66,89,5.69
261,Longyearbyen,SJ,78.2186,15.6401,265.15,67,40,6.17
262,Ustyuzhna,RU,58.8394,36.4321,267.33,74,100,4.28
263,Nísia Floresta,BR,-6.0911,-35.2086,304.15,48,40,6.69
264,Marakkanam,IN,12.2,79.95,299.93,77,58,5.17
265,Lixouri,GR,38.2019,20.4314,288.15,94,90,4.63
266,Marzuq,YE,14.4,46.4667,302.03,10,56,4.82
267,Chicama,PE,-7.8447,-79.1469,295.15,88,0,4.12
268,Kailua,US,21.4022,-157.7394,295.15,73,40,7.2
269,Ilulissat,GL,69.2167,-51.1,267.15,63,75,3.09
270,Foam Lake,CA,51.65,-103.5343,277.15,65,100,5.66
271,Eureka,US,40.8021,-124.1637,278.71,95,87,0.89
272,Dombarovskiy,RU,50.7587,59.5386,271.79,93,100,8.39
273,Valley City,US,46.9233,-98.0032,277.15,87,1,7.72
274,Samarai,PG,-10.6167,150.6667,301.38,78,44,2.84
275,Fortuna,US,40.5982,-124.1573,278.71,100,90,2.57
276,Henties Bay,NA,-22.116,14.2845,292.04,81,28,4.47
277,Lake Havasu City,US,34.4839,-114.3224,290.93,27,1,1.77
278,Kahului,US,20.8947,-156.47,294.15,88,1,6.65
279,Kieta,PG,-6.2167,155.6333,299.37,84,100,1.49
280,Hofn,IS,64.2539,-15.2082,278.69,38,100,1.89
281,Mihai Bravu,RO,44.1406,26.0628,283.71,64,72,2.91
282,Isangel,VU,-19.55,169.2667,297.8,84,100,4.12
283,Chimbote,PE,-9.0853,-78.5783,296.53,67,30,2.64
284,Kudymkar,RU,59.0173,54.656,269.65,89,100,4.37
285,Chepareria,KE,1.3077,35.2039,299.19,42,92,2.67
286,Flinders,AU,-34.5833,150.8552,294.82,91,100,2.68
287,Nagato,JP,34.3833,131.2,288.15,100,75,0.51
288,Hithadhoo,MV,-0.6,73.0833,301.38,71,100,3.6
289,Appingedam,NL,53.3217,6.8583,279.82,92,99,3.13
290,Kerugoya,KE,-0.4989,37.2803,295.94,63,93,3.88
